EmployeeID,Age,Department,JobRole,EducationField,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,JobSatisfaction,WorkLifeBalance,JobInvolvement,OverTime,BusinessTravel,DistanceFromHome,NumCompaniesWorked,TrainingTimesLastYear,Attrition
25,33,Human Resources,Human Resources,Life Sciences,6081,6,1,3,1,1,Yes,Travel_Rarely,17,7,0,No
26,23,Human Resources,Accountant,Marketing,7237,1,1,3,1,4,Yes,Rarely,1,0,2,No
27,23,IT,Accountant,Marketing,7672,1,1,4,2,4,Yes,Travel_Rarely,23,3,6,Yes
28,32,Sales,Laboratory Technician,Life Sciences,13947,10,0,3,2,4,No,Rarely,5,3,1,No
29,27,IT,Sales Executive,Technical Degree,9625,2,2,4,4,1,Yes,Travel_Rarely,9,5,4,No
30,24,IT,Accountant,Finance,3159,2,2,2,3,3,Yes,Rarely,19,3,6,Yes
31,54,IT,Research Scientist,Human Resources,4459,6,1,4,1,3,No,Travel_Rarely,28,8,0,No
32,44,Research & Development,Human Resources,Marketing,8034,9,2,3,4,4,Yes,Travel_Rarely,26,8,3,No
33,23,Human Resources,Manager,Medical,17732,1,1,4,1,1,No,Rarely,27,6,0,Yes
34,56,Human Resources,Sales Executive,Medical,12374,15,15,3,4,4,Yes,Travel_Rarely,22,7,0,Yes
35,45,Sales,Research Scientist,Marketing,15415,10,0,4,4,2,Yes,Rarely,8,3,5,Yes
36,56,Research & Development,Laboratory Technician,Human Resources,13875,29,8,3,1,1,No,Rarely,18,1,1,Yes
37,56,IT,Human Resources,Technical Degree,14483,28,8,4,1,4,No,Rarely,1,4,3,No
38,29,Research & Development,Sales Executive,Technical Degree,15946,2,0,4,1,4,Yes,Travel_Rarely,12,2,5,Yes
39,43,Finance,Manager,Finance,9393,5,5,1,3,2,Yes,Travel_Rarely,8,1,4,No
40,51,Sales,Sales Executive,Marketing,17119,14,0,1,4,1,No,Travel_Rarely,16,2,3,No
41,56,Sales,Research Scientist,Human Resources,16003,16,15,1,4,4,Yes,Rarely,30,4,5,Yes
42,56,Finance,Research Scientist,Medical,16556,4,4,1,2,1,No,Frequently,3,0,3,No
43,42,Sales,Manager,Finance,5475,0,0,4,3,4,Yes,Rarely,18,8,1,No
44,52,Sales,Sales Executive,Technical Degree,9209,25,2,4,2,4,Yes,Rarely,18,5,6,No
45,23,Research & Development,Accountant,Medical,10306,0,0,2,2,2,No,Rarely,17,7,0,Yes
46,30,Finance,Laboratory Technician,Technical Degree,15033,6,4,2,3,2,No,Frequently,3,1,0,No
47,45,IT,Software Engineer,Medical,11216,6,0,4,1,4,No,Rarely,1,7,5,No
48,37,Sales,Human Resources,Marketing,13393,11,2,3,3,4,Yes,Travel_Rarely,2,1,6,Yes
49,43,IT,Manager,Human Resources,6646,21,9,2,2,1,Yes,Rarely,20,9,5,Yes
50,36,Research & Development,Sales Executive,Medical,15865,10,4,1,4,1,Yes,Travel_Rarely,28,4,6,Yes
51,25,IT,Research Scientist,Life Sciences,7369,0,0,4,4,2,Yes,Travel_Rarely,15,2,6,Yes
52,37,IT,Human Resources,Medical,15056,1,1,2,2,3,No,Frequently,17,7,6,No
53,40,Human Resources,Research Scientist,Medical,14367,4,1,1,2,3,No,Frequently,9,4,0,No
54,22,Human Resources,Manager,Life Sciences,13541,0,0,4,2,2,No,Rarely,16,8,4,Yes
55,22,IT,Sales Executive,Medical,5843,0,0,1,3,4,Yes,Travel_Rarely,5,5,4,Yes
56,24,Research & Development,Laboratory Technician,Marketing,5647,1,1,3,1,2,Yes,Rarely,25,4,6,Yes
57,51,Finance,Accountant,Finance,16561,29,3,1,4,4,No,Travel_Rarely,26,9,4,No
58,60,IT,Laboratory Technician,Marketing,12327,0,0,2,2,1,Yes,Rarely,23,9,1,Yes
59,26,Sales,Software Engineer,Marketing,17959,1,1,3,2,2,Yes,Frequently,19,9,0,Yes
60,26,Human Resources,Research Scientist,Technical Degree,7111,1,0,4,4,4,No,Travel_Rarely,27,3,3,Yes
61,56,Sales,Sales Executive,Life Sciences,4927,0,0,1,1,3,No,Frequently,11,4,3,Yes
62,24,Research & Development,Software Engineer,Finance,8036,1,0,4,1,1,No,Rarely,12,1,4,Yes
63,56,Finance,Human Resources,Life Sciences,13466,16,9,4,1,2,Yes,Rarely,10,9,5,No
64,55,Research & Development,Human Resources,Human Resources,10806,8,6,4,2,1,Yes,Frequently,18,7,3,No
65,46,Finance,Research Scientist,Marketing,14040,24,3,2,1,1,Yes,Frequently,24,2,0,No
66,56,Sales,Laboratory Technician,Medical,6579,3,1,1,3,4,Yes,Travel_Rarely,24,6,5,No
67,53,Human Resources,Accountant,Finance,14824,11,0,3,1,3,No,Travel_Rarely,25,2,0,Yes
68,51,Research & Development,Accountant,Technical Degree,16084,16,13,4,4,1,Yes,Rarely,22,2,0,Yes
69,57,Human Resources,Accountant,Finance,2895,28,8,3,4,1,No,Travel_Rarely,7,3,2,No
70,37,Human Resources,Research Scientist,Life Sciences,7480,4,2,4,1,4,Yes,Frequently,27,4,3,No
71,44,Research & Development,Research Scientist,Marketing,3667,6,4,1,2,2,No,Frequently,7,9,4,No
72,56,Research & Development,Research Scientist,Medical,7834,28,10,3,2,3,Yes,Travel_Rarely,12,8,1,No
73,38,Human Resources,Accountant,Marketing,14016,5,5,1,4,2,Yes,Frequently,9,1,2,No
74,23,Finance,Software Engineer,Life Sciences,4040,0,0,1,2,3,No,Rarely,8,0,5,No
75,38,Human Resources,Research Scientist,Life Sciences,11202,6,0,1,4,4,No,Rarely,6,2,4,No
76,60,Human Resources,Software Engineer,Human Resources,6686,9,9,3,3,2,No,Frequently,3,1,3,No
77,41,Sales,Manager,Life Sciences,9119,7,4,3,1,3,Yes,Frequently,1,2,4,No
78,49,Sales,Human Resources,Technical Degree,14977,24,14,4,1,1,Yes,Frequently,24,0,5,Yes
79,27,Human Resources,Human Resources,Life Sciences,4605,3,0,4,1,1,No,Travel_Rarely,15,4,5,No
80,42,Human Resources,Human Resources,Technical Degree,14990,4,3,3,3,4,No,Travel_Rarely,25,1,6,No
81,35,Human Resources,Human Resources,Technical Degree,15954,0,0,1,2,2,Yes,Rarely,3,6,0,Yes
82,32,Finance,Software Engineer,Human Resources,15823,9,7,2,4,4,Yes,Travel_Rarely,28,4,1,Yes
83,49,IT,Accountant,Marketing,9319,25,7,2,4,2,Yes,Frequently,28,4,0,Yes
84,57,IT,Human Resources,Technical Degree,6275,26,5,3,1,1,No,Frequently,1,4,3,No
85,34,Research & Development,Human Resources,Medical,5279,12,12,2,3,1,No,Travel_Rarely,6,1,2,No
86,26,Human Resources,Human Resources,Medical,4338,0,0,2,2,4,No,Rarely,30,1,2,Yes
87,26,Research & Development,Accountant,Life Sciences,17978,0,0,2,1,2,Yes,Rarely,15,0,2,Yes
88,42,Finance,Human Resources,Technical Degree,9949,16,12,1,2,1,Yes,Frequently,3,0,4,No
89,27,IT,Research Scientist,Technical Degree,15263,0,0,1,3,1,No,Frequently,6,2,4,Yes
90,44,Sales,Accountant,Medical,9640,20,4,2,2,3,Yes,Frequently,17,4,5,Yes
91,30,IT,Manager,Medical,8497,0,0,3,1,1,Yes,Travel_Rarely,4,0,0,No
92,53,Sales,Manager,Finance,12773,27,14,4,3,2,Yes,Frequently,26,1,5,No
93,24,IT,Human Resources,Human Resources,14654,1,1,1,2,4,No,Frequently,5,8,0,No
94,44,IT,Manager,Finance,13970,4,4,2,2,3,No,Rarely,19,6,5,No
95,55,Finance,Laboratory Technician,Marketing,9449,17,1,2,2,3,Yes,Travel_Rarely,27,2,6,No
96,55,IT,Manager,Technical Degree,3831,24,5,1,4,3,Yes,Frequently,28,6,1,Yes
97,38,Human Resources,Research Scientist,Marketing,4680,3,1,4,1,2,No,Frequently,17,3,4,No
98,55,Sales,Research Scientist,Technical Degree,10441,20,1,1,2,3,Yes,Rarely,11,2,6,No
99,44,Research & Development,Sales Executive,Marketing,9850,15,14,3,2,4,No,Frequently,8,3,3,No
100,46,Finance,Sales Executive,Technical Degree,13958,2,2,1,4,2,Yes,Frequently,29,9,2,No
101,40,IT,Software Engineer,Technical Degree,10456,4,1,4,2,1,Yes,Travel_Rarely,22,4,5,Yes
102,22,Human Resources,Laboratory Technician,Human Resources,17480,0,0,1,4,2,No,Frequently,14,1,0,No
103,35,IT,Accountant,Medical,12445,12,10,1,2,1,Yes,Frequently,15,8,5,Yes
104,51,Finance,Sales Executive,Finance,14894,15,12,1,2,4,No,Frequently,1,7,0,No
105,56,Finance,Software Engineer,Medical,3776,19,14,3,3,4,Yes,Frequently,22,9,3,No
106,44,IT,Sales Executive,Human Resources,4625,1,0,2,2,3,No,Travel_Rarely,24,2,6,No
107,24,Sales,Software Engineer,Technical Degree,4146,2,1,3,3,4,No,Rarely,13,1,1,Yes
108,59,Human Resources,Manager,Technical Degree,9382,18,14,4,1,3,No,Rarely,5,9,6,No
109,38,Finance,Laboratory Technician,Life Sciences,16042,11,8,1,1,4,No,Frequently,25,3,1,No
110,24,IT,Sales Executive,Finance,2732,0,0,2,3,4,No,Rarely,15,5,1,Yes
111,29,Sales,Accountant,Medical,14699,0,0,4,3,2,Yes,Rarely,9,4,5,No
112,47,IT,Research Scientist,Technical Degree,4261,23,10,1,2,1,Yes,Rarely,25,0,4,Yes
113,43,IT,Research Scientist,Marketing,13016,5,5,3,4,4,No,Travel_Rarely,30,7,6,No
114,30,Research & Development,Human Resources,Marketing,15546,2,2,3,4,1,Yes,Rarely,4,7,6,Yes
115,27,Sales,Laboratory Technician,Finance,9989,3,3,3,4,3,No,Frequently,6,5,0,No
116,51,IT,Software Engineer,Finance,5051,5,2,2,1,2,Yes,Rarely,15,7,1,No
117,26,IT,Accountant,Life Sciences,8969,1,1,4,3,4,Yes,Travel_Rarely,1,3,0,Yes
118,33,Finance,Software Engineer,Human Resources,15346,0,0,2,2,4,No,Rarely,6,4,5,No
119,32,Sales,Accountant,Life Sciences,9488,10,2,1,2,2,No,Frequently,24,9,4,Yes
120,44,Human Resources,Software Engineer,Medical,12365,11,1,1,4,2,No,Travel_Rarely,20,0,6,No
121,58,IT,Software Engineer,Human Resources,13068,16,8,3,3,4,No,Travel_Rarely,6,6,2,No
122,51,Finance,Manager,Medical,11810,16,4,2,4,4,No,Frequently,18,4,2,No
123,30,Sales,Laboratory Technician,Technical Degree,5135,2,2,1,4,4,No,Rarely,22,7,2,No
124,58,Finance,Laboratory Technician,Marketing,8913,27,13,3,1,1,Yes,Frequently,5,2,2,Yes
125,35,Research & Development,Laboratory Technician,Marketing,10077,13,3,1,1,2,No,Frequently,25,1,6,No
126,35,Human Resources,Human Resources,Medical,9443,2,0,2,1,3,Yes,Travel_Rarely,15,0,0,Yes
127,38,Finance,Manager,Technical Degree,3748,14,6,2,2,1,Yes,Travel_Rarely,8,7,2,Yes
128,60,Finance,Manager,Marketing,4470,5,5,3,3,3,Yes,Rarely,8,9,3,Yes
129,36,Research & Development,Laboratory Technician,Human Resources,8242,12,0,4,2,3,No,Frequently,27,3,4,No
130,59,Finance,Software Engineer,Finance,3620,28,4,3,3,1,No,Frequently,30,3,5,No
131,23,Human Resources,Laboratory Technician,Finance,7112,0,0,2,1,2,Yes,Rarely,6,3,4,Yes
132,45,Sales,Software Engineer,Medical,17783,23,14,1,4,1,Yes,Rarely,29,3,3,No
133,23,Human Resources,Software Engineer,Medical,2594,0,0,3,4,4,No,Rarely,26,4,3,Yes
134,32,Human Resources,Research Scientist,Finance,14017,9,7,2,2,4,No,Rarely,23,9,5,No
135,33,Human Resources,Sales Executive,Marketing,12957,7,5,2,1,1,Yes,Travel_Rarely,15,7,3,No
136,33,Research & Development,Software Engineer,Life Sciences,9647,3,3,4,1,4,No,Rarely,5,7,6,No
137,49,Finance,Manager,Medical,14141,8,5,3,1,2,No,Frequently,8,8,5,No
138,32,Human Resources,Accountant,Life Sciences,16218,0,0,2,1,1,No,Rarely,26,3,5,Yes
139,44,Sales,Human Resources,Medical,5372,0,0,3,2,3,Yes,Rarely,19,7,6,No
140,42,Human Resources,Sales Executive,Human Resources,14194,8,4,1,2,4,Yes,Rarely,25,4,1,No
141,56,IT,Human Resources,Technical Degree,11266,19,8,2,3,2,Yes,Travel_Rarely,2,6,1,Yes
142,48,Finance,Laboratory Technician,Human Resources,11109,26,0,4,3,3,No,Frequently,12,2,5,No
143,45,IT,Software Engineer,Finance,14812,6,3,2,1,4,Yes,Rarely,1,0,4,Yes
144,43,Sales,Research Scientist,Human Resources,5213,17,4,1,3,1,Yes,Rarely,20,8,0,Yes
145,41,Sales,Manager,Human Resources,6201,7,0,3,1,4,No,Travel_Rarely,13,6,2,No
146,40,Sales,Research Scientist,Marketing,14081,16,12,1,2,4,No,Travel_Rarely,8,2,1,No
147,22,Finance,Sales Executive,Finance,17425,0,0,3,3,2,Yes,Frequently,2,5,3,Yes
148,51,Research & Development,Manager,Medical,8297,18,14,4,1,4,Yes,Travel_Rarely,29,6,6,No
149,24,Human Resources,Accountant,Life Sciences,15587,1,1,3,2,2,Yes,Rarely,28,0,6,Yes
150,49,Human Resources,Human Resources,Life Sciences,12515,17,6,1,4,1,No,Frequently,25,6,2,No
151,45,Human Resources,Software Engineer,Human Resources,16794,7,5,1,3,1,No,Frequently,3,2,0,No
152,49,Finance,Sales Executive,Finance,5554,7,1,3,4,4,Yes,Frequently,14,7,5,No
153,37,Human Resources,Sales Executive,Finance,7047,3,0,2,1,2,Yes,Rarely,23,1,6,No
154,31,IT,Human Resources,Marketing,11466,0,0,3,1,3,Yes,Travel_Rarely,16,2,3,No
155,50,Research & Development,Manager,Medical,17535,17,1,1,3,1,No,Frequently,20,9,6,No
156,23,Finance,Software Engineer,Technical Degree,15494,0,0,3,4,4,No,Rarely,5,4,5,Yes
157,51,Human Resources,Laboratory Technician,Marketing,15692,1,0,4,3,4,Yes,Rarely,26,5,3,Yes
158,45,Finance,Laboratory Technician,Life Sciences,15380,9,7,3,2,3,No,Travel_Rarely,17,1,2,No
159,38,Human Resources,Laboratory Technician,Technical Degree,5073,8,7,2,1,1,No,Rarely,7,8,5,No
160,43,Sales,Software Engineer,Life Sciences,5041,3,1,2,1,1,No,Frequently,2,6,4,Yes
161,32,Human Resources,Human Resources,Technical Degree,9481,1,1,1,2,4,No,Travel_Rarely,9,5,1,No
162,38,Research & Development,Laboratory Technician,Technical Degree,8296,5,1,4,3,1,Yes,Frequently,10,5,4,No
163,48,Finance,Sales Executive,Human Resources,10492,5,2,4,2,4,Yes,Travel_Rarely,13,8,4,No
164,28,Research & Development,Laboratory Technician,Technical Degree,13645,4,0,2,1,4,Yes,Travel_Rarely,30,9,5,Yes
165,23,Sales,Manager,Medical,5567,1,0,1,3,1,Yes,Travel_Rarely,4,2,1,Yes
166,50,Human Resources,Human Resources,Technical Degree,10840,10,7,3,4,4,No,Frequently,17,6,2,No
167,55,Research & Development,Manager,Medical,6650,14,7,2,2,1,Yes,Frequently,24,0,1,No
168,57,IT,Software Engineer,Marketing,11442,19,2,3,4,3,Yes,Rarely,17,1,0,No
169,47,Finance,Laboratory Technician,Marketing,10117,20,8,1,4,1,No,Rarely,1,8,4,No
170,46,IT,Human Resources,Technical Degree,15850,2,2,2,1,4,No,Rarely,12,2,5,No
171,59,Human Resources,Laboratory Technician,Marketing,9509,11,2,1,4,3,No,Frequently,27,0,4,No
172,38,Research & Development,Human Resources,Technical Degree,2829,16,14,4,2,4,No,Rarely,24,2,6,Yes
173,42,Finance,Software Engineer,Finance,13844,4,0,2,1,4,No,Frequently,15,9,0,No
174,47,Research & Development,Manager,Human Resources,10738,9,6,1,3,2,Yes,Rarely,21,5,1,No
175,28,Human Resources,Accountant,Life Sciences,14545,6,4,3,1,3,Yes,Frequently,16,7,1,No
176,44,Finance,Sales Executive,Finance,4000,17,14,2,4,3,Yes,Frequently,3,1,2,No
177,60,Sales,Manager,Human Resources,7892,13,7,3,4,4,No,Frequently,13,1,2,No
178,58,Sales,Accountant,Human Resources,15982,7,1,3,3,4,No,Travel_Rarely,7,7,0,No
179,25,Human Resources,Software Engineer,Life Sciences,7968,1,0,1,2,1,No,Travel_Rarely,16,9,3,Yes
180,23,Research & Development,Software Engineer,Finance,11002,0,0,2,2,2,No,Rarely,27,6,4,Yes
181,34,Sales,Accountant,Medical,16085,2,2,3,2,4,Yes,Frequently,29,0,4,No
182,37,Sales,Sales Executive,Marketing,6011,11,8,2,2,1,No,Rarely,7,3,4,Yes
183,22,Finance,Research Scientist,Technical Degree,6260,0,0,3,1,2,Yes,Travel_Rarely,24,1,3,Yes
184,39,Research & Development,Research Scientist,Human Resources,16769,4,0,4,1,1,Yes,Rarely,14,8,6,No
185,45,IT,Software Engineer,Human Resources,11655,11,10,2,1,1,Yes,Frequently,5,5,6,Yes
186,45,Finance,Software Engineer,Marketing,10702,12,1,1,3,4,No,Frequently,4,7,3,No
187,50,Finance,Laboratory Technician,Technical Degree,7929,20,2,1,2,2,Yes,Rarely,11,1,0,No
188,47,IT,Laboratory Technician,Marketing,3436,16,9,3,4,2,No,Travel_Rarely,5,4,5,No
189,44,Human Resources,Research Scientist,Life Sciences,5236,8,2,4,2,1,No,Frequently,29,9,2,Yes
190,39,IT,Laboratory Technician,Marketing,12801,16,7,3,4,3,No,Travel_Rarely,6,7,4,Yes
191,46,Finance,Laboratory Technician,Finance,13068,3,1,1,2,3,Yes,Travel_Rarely,9,7,2,No
192,49,Sales,Human Resources,Medical,3718,24,1,4,2,1,No,Frequently,15,7,0,No
193,26,Human Resources,Research Scientist,Marketing,12110,2,1,4,4,3,Yes,Travel_Rarely,6,7,2,No
194,26,Research & Development,Software Engineer,Finance,7795,1,1,2,1,4,Yes,Travel_Rarely,16,4,4,Yes
195,38,Finance,Sales Executive,Medical,7733,7,4,4,2,1,No,Travel_Rarely,19,9,2,Yes
196,55,Human Resources,Laboratory Technician,Medical,8683,26,12,1,1,2,No,Rarely,24,2,3,Yes
197,54,IT,Laboratory Technician,Marketing,17406,26,15,1,1,3,No,Rarely,13,8,4,No
198,57,Finance,Accountant,Marketing,6786,26,5,4,3,1,No,Travel_Rarely,11,9,0,No
199,52,Finance,Sales Executive,Finance,17370,9,9,4,3,1,Yes,Rarely,30,6,6,No
200,39,Finance,Accountant,Technical Degree,4903,1,1,1,1,4,No,Rarely,7,1,4,Yes
201,48,IT,Sales Executive,Finance,3636,8,0,4,3,2,No,Frequently,28,7,4,No
202,56,Human Resources,Human Resources,Marketing,3507,5,2,2,3,2,No,Travel_Rarely,9,1,6,Yes
203,49,Research & Development,Manager,Human Resources,3071,14,13,1,1,2,Yes,Travel_Rarely,4,3,3,Yes
204,25,IT,Research Scientist,Technical Degree,15518,3,0,4,2,1,Yes,Travel_Rarely,10,5,0,No
205,43,Human Resources,Software Engineer,Medical,7069,17,1,2,4,3,No,Rarely,29,3,2,Yes
206,56,Sales,Laboratory Technician,Life Sciences,7543,28,11,3,1,3,No,Rarely,1,5,6,No
207,36,IT,Research Scientist,Marketing,14691,2,2,2,3,2,No,Frequently,2,1,4,No
208,25,IT,Manager,Finance,16788,2,0,1,3,3,Yes,Frequently,23,3,1,Yes
209,35,Finance,Human Resources,Life Sciences,5655,5,2,3,3,1,No,Frequently,30,7,3,No
210,50,Research & Development,Manager,Marketing,6616,14,4,3,4,2,No,Rarely,19,8,4,Yes
211,24,Human Resources,Human Resources,Technical Degree,8126,0,0,2,4,2,No,Rarely,15,1,4,Yes
212,56,Sales,Accountant,Finance,12547,16,8,4,4,2,No,Rarely,15,7,3,No
213,46,IT,Sales Executive,Medical,8276,20,7,3,3,2,Yes,Frequently,18,3,6,No
214,24,IT,Research Scientist,Medical,15136,0,0,4,4,2,Yes,Travel_Rarely,3,3,5,Yes
215,36,Research & Development,Laboratory Technician,Life Sciences,5724,13,13,3,1,2,Yes,Travel_Rarely,12,3,3,Yes
216,30,Research & Development,Research Scientist,Life Sciences,8297,8,5,2,1,1,No,Rarely,2,7,2,No
217,34,Sales,Research Scientist,Medical,13460,7,4,2,2,4,Yes,Frequently,18,5,2,No
218,46,Sales,Research Scientist,Medical,17636,5,0,4,3,2,No,Rarely,19,7,0,No
219,38,IT,Sales Executive,Technical Degree,9231,13,5,2,4,4,Yes,Frequently,1,9,1,No
220,54,IT,Human Resources,Human Resources,2501,0,0,1,1,1,Yes,Frequently,30,0,4,Yes
221,47,IT,Sales Executive,Finance,3417,6,1,2,3,2,No,Frequently,14,9,1,No
222,36,Sales,Manager,Finance,5541,9,6,4,1,4,No,Frequently,11,2,2,Yes
223,27,Finance,Sales Executive,Human Resources,4556,5,0,3,3,4,Yes,Frequently,9,1,3,Yes
224,29,Research & Development,Laboratory Technician,Human Resources,6411,1,1,2,4,2,No,Frequently,15,6,2,Yes
225,41,Finance,Human Resources,Finance,2707,3,1,2,2,2,No,Rarely,3,8,3,Yes
226,35,IT,Software Engineer,Technical Degree,15758,1,1,4,3,4,Yes,Frequently,13,8,4,No
227,40,Finance,Laboratory Technician,Technical Degree,6138,13,3,1,4,1,No,Frequently,23,4,6,No
228,53,Human Resources,Manager,Marketing,2806,11,1,2,2,3,No,Travel_Rarely,22,4,0,Yes
229,24,Research & Development,Software Engineer,Life Sciences,13663,1,0,3,1,1,No,Rarely,22,0,6,No
230,33,Sales,Manager,Finance,14580,4,1,1,4,4,Yes,Travel_Rarely,5,3,3,Yes
231,41,Research & Development,Human Resources,Human Resources,3455,17,0,3,4,1,Yes,Travel_Rarely,4,9,4,No
232,55,Sales,Manager,Technical Degree,8131,3,1,3,2,4,No,Travel_Rarely,6,6,1,No
233,33,Sales,Laboratory Technician,Life Sciences,6214,1,1,1,3,1,No,Frequently,3,9,3,No
234,51,Research & Development,Research Scientist,Life Sciences,16410,9,1,3,1,1,No,Rarely,6,8,5,No
235,35,IT,Laboratory Technician,Human Resources,7099,6,0,4,2,3,Yes,Frequently,6,0,2,Yes
236,46,Finance,Accountant,Finance,12732,1,0,1,1,3,Yes,Travel_Rarely,1,7,3,No
237,57,Human Resources,Sales Executive,Finance,15088,22,14,3,3,2,Yes,Frequently,3,5,5,No
238,37,Human Resources,Laboratory Technician,Medical,12685,12,9,4,2,1,Yes,Rarely,1,4,3,No
239,29,Finance,Sales Executive,Finance,16494,3,0,1,4,2,Yes,Travel_Rarely,20,8,2,No
240,58,Sales,Software Engineer,Technical Degree,5234,4,3,1,1,1,Yes,Frequently,24,7,3,Yes
241,36,Research & Development,Laboratory Technician,Marketing,4425,11,10,1,4,2,No,Travel_Rarely,14,1,0,No
242,58,IT,Human Resources,Medical,11735,25,12,1,3,3,Yes,Rarely,6,4,4,Yes
243,26,IT,Sales Executive,Technical Degree,15972,0,0,3,2,4,Yes,Frequently,10,3,4,No
244,45,Finance,Human Resources,Marketing,7870,10,1,1,2,1,No,Frequently,25,6,6,Yes
245,44,IT,Sales Executive,Life Sciences,10095,5,3,3,4,2,No,Frequently,13,3,1,No
246,29,IT,Manager,Medical,12725,4,0,3,4,1,No,Rarely,6,4,6,No
247,43,IT,Sales Executive,Marketing,3698,1,0,3,3,2,Yes,Rarely,11,9,5,No
248,39,Research & Development,Accountant,Marketing,10205,7,6,4,1,4,No,Frequently,27,7,0,Yes
249,25,Finance,Software Engineer,Medical,17636,0,0,3,3,4,No,Rarely,14,4,4,No
250,47,Research & Development,Human Resources,Technical Degree,10625,1,1,4,2,3,No,Rarely,9,0,0,No
251,46,Sales,Manager,Life Sciences,15475,12,8,1,1,3,Yes,Frequently,9,3,1,No
252,59,IT,Manager,Finance,15281,3,1,3,2,2,No,Travel_Rarely,18,8,6,No
253,40,Sales,Manager,Medical,3888,10,0,4,2,2,Yes,Frequently,7,8,4,No
254,36,IT,Manager,Technical Degree,9732,11,9,3,3,1,No,Rarely,19,8,0,No
255,53,Research & Development,Manager,Life Sciences,14260,2,1,2,3,3,No,Travel_Rarely,8,9,1,Yes
256,30,Human Resources,Software Engineer,Marketing,11718,4,1,4,4,2,No,Rarely,6,4,4,No
257,47,Sales,Human Resources,Human Resources,7260,11,4,2,4,1,Yes,Travel_Rarely,15,3,6,Yes
258,44,Human Resources,Laboratory Technician,Life Sciences,7945,13,1,4,3,3,Yes,Rarely,13,4,6,Yes
259,37,Research & Development,Research Scientist,Life Sciences,12530,4,3,3,1,4,Yes,Travel_Rarely,11,2,6,Yes
260,25,Finance,Manager,Human Resources,15576,0,0,2,3,2,No,Travel_Rarely,14,3,4,No
261,48,IT,Laboratory Technician,Technical Degree,12384,14,11,3,4,4,No,Rarely,10,3,5,Yes
262,39,Finance,Software Engineer,Human Resources,14789,16,12,4,2,1,No,Frequently,30,6,6,Yes
263,31,IT,Sales Executive,Technical Degree,15850,6,6,4,1,2,No,Frequently,29,9,3,Yes
264,41,Human Resources,Accountant,Finance,12167,6,5,1,4,4,No,Rarely,13,9,6,No
265,34,Sales,Human Resources,Human Resources,17722,5,5,1,2,4,No,Frequently,9,9,0,No
266,36,Sales,Manager,Human Resources,2509,7,1,1,1,2,Yes,Frequently,8,7,0,Yes
